"Bao, Yameng",13,3,c,b,22,11,Engineering
"Xuan, Rongwei",14,4,c,b,22,11,Engineering
"Sun, Shenghua",15,5,d,c,22,11,Engineering
"Sneck, Sami",16,6,d,c,22,11,Engineering
"Li, Shuo",17,7,d,c,22,11,Engineering
"Modanese, Chiara",18,8,d,d,22,11,Engineering
"Savin, Hele",19,11,d,l,22,11,Engineering
"Wang, Aihua",20,9,d,d,22,11,Engineering
"Zhao, Jianhua",21,10,d,d,22,11,Engineering
"Savin, Hele",22,11,l,l,22,11,Engineering
"Vargas-Castro, Viridiana",1,1,a,a,15,14,Biological sciences
"Gomez-Diaz, Ricardo",2,2,b,b,15,14,Biological sciences
"Blanco-Alvarez, Victor M.",3,3,b,b,15,14,Biological sciences
"Tomas-Sanchez, Constantino",4,4,b,b,15,14,Biological sciences
"Gonzalez-Vazquez, Alejandro",5,5,b,b,15,14,Biological sciences
"Aguilar-Peralta, Ana Karina",6,6,c,c,15,14,Biological sciences
"Gonzalez-Barrios, Juan A.",7,7,c,c,15,14,Biological sciences
"Martinez-Fong, Daniel",8,8,c,c,15,14,Biological sciences
"Eguibar, Jose R.",9,9,c,c,15,14,Biological sciences
"Ugarte, Araceli",11,10,d,d,15,14,Biological sciences
"Soto-Rodriguez, Guadalupe",12,11,d,d,15,14,Biological sciences
"Brambila, Eduardo",13,12,d,d,15,14,Biological sciences
"Millán-Perez-Peña, Lourdes",14,13,d,d,15,14,Biological sciences
"Leon-Chavez, Bertha Alicia",15,14,l,l,15,14,Biological sciences
"Mansuy, Nicolas",1,1,a,a,8,9,Biological sciences
"Valeria, Osvaldo",2,2,b,b,8,9,Biological sciences
"Laamrani, Ahmed",3,3,b,b,8,9,Biological sciences
"Fenton, Nicole",4,4,c,c,8,9,Biological sciences
"Guindon, Luc",5,5,c,c,8,9,Biological sciences
"Bergeron, Yves",6,6,d,d,8,9,Biological sciences
"Beaudoin, André",7,7,d,d,8,9,Biological sciences
"Légaré, Sonia",8,8,l,d,8,9,Biological sciences
"Bocci, Maria Grazia",1,1,a,a,19,19,Medical sciences
"Nardi, Giuseppe",2,2,b,b,19,19,Medical sciences
"Veronesi, Giovanni",3,3,b,b,19,19,Medical sciences
"Rondinelli, Maria Beatrice",4,4,b,b,19,19,Medical sciences
"Palma, Antonella",5,5,b,b,19,19,Medical sciences
"Fiore, Valentina",6,6,b,b,19,19,Medical sciences
"De Candia, Erica",7,7,c,c,19,19,Medical sciences
"Bianchi, Maria",8,8,c,c,19,19,Medical sciences
"Barelli, Roberta",9,9,c,c,19,19,Medical sciences
"Cutuli, Salvatore Lucio",11,13,c,d,19,19,Medical sciences
"Mercurio, Giovanna",12,14,c,d,19,19,Medical sciences
"Caricato, Anselmo",13,15,d,d,19,19,Medical sciences
"Grieco, Domenico Luca",14,16,d,d,19,19,Medical sciences
"Antonelli, Massimo",15,17,d,d,19,19,Medical sciences
"Cingolani, Emiliano",16,18,d,d,19,19,Medical sciences
"Maresca, Maddalena",17,19,d,l,19,19,Medical sciences
"Anagnostopoulos, Athanasios K.",1,1,a,a,20,10,Biological sciences
"Katsafadou, Angeliki I.",2,2,b,b,20,10,Biological sciences
"Pierros, Vasileios",3,3,b,b,20,10,Biological sciences
"Kontopodis, Evangelos",4,4,b,c,20,10,Biological sciences
"Fthenakis, George C.",5,5,b,c,20,10,Biological sciences
"Arsenos, George",6,6,b,c,20,10,Biological sciences
"Karkabounas, Spyridon Ch.",7,7,b,d,20,10,Biological sciences
"Tzora, Athina",8,8,c,d,20,10,Biological sciences
"Tsangaris, George Th.",9,9,c,d,20,10,Biological sciences
"Anagnostopoulos, Athanasios K.",10,1,c,a,20,10,Biological sciences
"Katsafadou, Angeliki I.",11,2,c,b,20,10,Biological sciences
"Pierros, Vasileios",12,3,c,b,20,10,Biological sciences
"Kontopodis, Evangelos",13,4,c,c,20,10,Biological sciences
"Fthenakis, George C.",14,5,d,c,20,10,Biological sciences
"Arsenos, George",15,6,d,c,20,10,Biological sciences
"Karkabounas, Spyridon Ch.",16,7,d,d,20,10,Biological sciences
"Tzora, Athina",17,8,d,d,20,10,Biological sciences
"Skoufos, Ioannis",18,10,d,l,20,10,Biological sciences
"Tsangaris, George Th.",19,9,d,d,20,10,Biological sciences
"Skoufos, Ioannis",20,10,l,l,20,10,Biological sciences
"Anagnostopoulos, Athanasios K.",1,1,a,a,20,10,Biological sciences
"Katsafadou, Angeliki I.",2,2,b,b,20,10,Biological sciences
"Pierros, Vasileios",3,3,b,b,20,10,Biological sciences
