10.1016/j.dib.2015.06.018,"Xu, Mi",3,Engineering
10.1016/j.dib.2020.105622,"Panagiotopoulou, Angeliki",3,Biological sciences
10.1016/j.dib.2016.04.035,"Scully, Jenna",3,Biological sciences
10.1016/j.dib.2022.108764,"Ishikawa, Akira",4,Geosciences
10.1016/j.dib.2022.108764,"Niwa, Yuka",5,Geosciences
10.1016/j.dib.2022.108764,"Shimoda, Gen",6,Geosciences
10.1016/j.dib.2022.108764,"Yasukawa, Kazutaka",7,Geosciences
10.1016/j.dib.2016.06.029,"He, Shaohua",3,Biological sciences
10.1016/j.dib.2020.105352,"Park, Joon Sik",3,Engineering
10.1016/j.dib.2020.105390,"Blanchard, Troy C.",3,Geosciences
10.1016/j.dib.2020.105390,"Lee, Matthew R.",4,Geosciences
10.1016/j.dib.2022.108145,"Sharma, Shikha",4,Biological sciences
10.1016/j.dib.2016.04.051,"Livshitz, Lilya",3,Biological sciences
10.1016/j.dib.2016.04.051,"Kra, Gitit",4,Biological sciences
10.1016/j.dib.2020.105878,"González, Fernando",3,Geosciences
10.1016/j.dib.2020.105878,"Pastor-Tiburón, Natalia",4,Geosciences
10.1016/j.dib.2018.07.006,"Geyer, Björn",4,Engineering
10.1016/j.dib.2021.107408,"Denize, Julien",3,Biological sciences
10.1016/j.dib.2021.107408,"Roger, Jean-Luc",4,Biological sciences
10.1016/j.dib.2020.105699,"Lussier, Desiree",3,Medical sciences
10.1016/j.dib.2020.105699,"Sharmarke, Hanad",4,Medical sciences
