Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2022.108448,10.1016/j.dib.2021.106798,"['Talik, S.', 'Claeys, M.', 'Lambelin, J.P.', 'Banvillet, A.', 'Sinou, J.J.']","['Roncen, T.', 'Lambelin, J.-P.', 'Chantereau, Y.', 'Sinou, J-J.']",5,4,Engineering,Engineering,0.072043011,0.444444444,5,0.615384615
10.1016/j.dib.2016.06.020,S002191501630209X,"['Dong, Rongrong', 'Li, Fahui', 'Qin, Shucun', 'Wang, Yi', 'Si, Yanhong', 'Xu, Xuelian', 'Tian, Hua', 'Zhai, Lei', 'Li, Yongjun', 'Zhou, Yawei', 'Zhang, Ying', 'Zhang, Nan', 'Guo, Shoudong', 'Zhang, Guangjie']","['Guo, Shoudong', 'Tian, Hua', 'Dong, Rongrong', 'Yang, Nana', 'Zhang, Ying', 'Yao, Shutong', 'Li, Yongjun', 'Zhou, Yawei', 'Qin, Shucun', 'Si, Yanhong']",14,10,"Pharmacology, Toxicology and Pharmaceutical Science",Medical sciences,0.071376025,0.625,14,0.230769231
10.1016/j.dib.2017.07.031,S136980011630052X,"['Patel, Malkeshkumar', 'Kim, Joondong']","['Yun, Ju-Hyung', 'Kumar, Melvin David', 'Patel, Malkeshkumar', 'Park, Yun Chang', 'Byung Soo Kim,', 'Kim, Joondong']",2,6,Energy,Engineering,0.06984127,1,4,0.666666667
10.1016/j.dib.2020.106076,S0925443920302313,"['Wang, Qing Jun', 'Jung, Kyung Sik', 'Mohan, Kabhilan', 'Kleinman, Mark E.']","['Zhong, Yu', 'Mohan, Kabhilan', 'Liu, Jinpeng', 'Al-Attar, Ahmad', 'Lin, Penghui', 'Flight, Robert M.', 'Sun, Qiushi', 'Warmoes, Marc O.', 'Liu, Huijuan', 'Jung, Kyung Sik', 'Mitov, Mihail I.', 'Lin, Nianwei', 'Butterfield, D. Allan', 'Lu, Shuyan', 'Liu, Jinze', 'Moseley, Hunter N.B.', 'Fan, Teresa W.M.', 'Kleinman, Mark E.', 'Wang, Qing Jun', 'Deshpande, Rahul R.']",4,20,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.068327647,1,7,0.8
10.1016/j.dib.2018.08.098,S0925400518309754,"['Zeng, Chenghui', 'Zheng, Kai', 'Wang, Xue-Zheng', 'Li, Hao-Ran', 'Zhao, Zhi-Peng', 'Zhong, Shengliang']","['Zhao, Fei', 'Wang, Xue-Zheng', 'He, Song-Tao', 'Ma, Pei-Zhi', 'Zhang, Wei', 'Ma, Yong-Cheng', 'Zhao, Shu-Juan', 'Sun, Jun']",6,8,Chemistry,Physics & Chemistry,0.068015873,0.615384615,6,0.666666667
10.1016/j.dib.2020.105773,S0964569120301186,"['Leite, Daniel', 'Vasconcelos, Edson', 'Riul, Pablo', 'Freitas, Natan', 'Miranda, George']","['Lula Leite, Daniel Silva', 'Tavares Pessoa Pinho De Vasconcelos, Edson Regis', 'Riul, Pablo', 'Alves De Freitas, Natan Diego', 'Cavalcanti De Miranda, George Emmanuel']",5,5,Agricultural and Biological Sciences,Biological sciences,0.065591398,0.555555556,6,0.571428571
10.1016/j.dib.2016.05.073,S1050464816301577,"['Hörnaeus, K.', 'Guillemant, J.', 'Mi, J.', 'Hernroth, B.', 'Bergquist, J.', 'Lind, S. Bergström']","['Hernroth, B.', 'Baden, S.', 'Tassidis, H.', 'Hörnaeus, K.', 'Guillemant, J.', 'Bergström Lind, S.', 'Bergquist, J.']",6,7,Environmental Sciences,Geosciences,0.062767154,0.777777778,8,0.5
10.1016/j.dib.2018.05.059,S1053811918300302,"['Basak, Chandramallika', 'Qin, Shuo', 'Nashiro, Kaoru', 'O’Connell, Margaret A.']","['Nashiro, Kaoru', 'Qin, Shuo', ""O'Connell, Margaret A."", 'Basak, Chandramallika']",4,4,Neurosciences,Medical sciences,0.061111111,0.4,3,0.571428571
10.1016/j.dib.2015.12.021,S0014482715301129,"['Efimenko, Anastassia', 'Sagaradze, Georgiy', 'Akopyan, Zhanna', 'Lopatina, Tatiana', 'Kalinina, Natalia']","['Kalinina, Natalia', 'Klink, Galina', 'Glukhanyuk, Eugeniy', 'Lopatina, Tatiana', 'Efimenko, Anastassia', 'Akopyan, Zhanna', 'Tkachuk, Vsevolod']",5,7,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.049643795,0.875,6,0.533333333
10.1016/j.dib.2018.05.113,S221463501730117X,"['Chung Phan, Thuy', 'Oliver Rieger, Marc', 'Wang, Mei']","['Phan, Thuy Chung', 'Rieger, Marc Oliver', 'Wang, Mei']",3,3,"Economics, Econometrics and Finances",Social sciences & Humanities,0.047619048,0.6,4,0.5
10.1016/j.dib.2017.06.047,S0264275116307508,"['Martinez, Lina M.', 'Estrada, Daniela']","['Martínez, Lina', 'Short, John Rennie', 'Estrada, Daniela']",2,3,Social Sciences,Social sciences & Humanities,0.047619048,0.75,3,0.571428571
